Iteração,x1,x2,"f(x1,x2)"
0,0.0,4.0,2.0
1,0.0,4.0,2.0
2,0.0,4.0,2.0
3,0.0,4.0,2.0
4,0.0,4.0,2.0
5,1.40625,2.65625,0.298828125
6,1.40625,2.65625,0.298828125
7,1.40625,2.65625,0.298828125
8,1.40625,2.65625,0.298828125
9,0.91748046875,3.10107421875,0.018402576446533203
10,0.91748046875,3.10107421875,0.018402576446533203
11,0.91748046875,3.10107421875,0.018402576446533203
12,0.91748046875,3.10107421875,0.018402576446533203
13,1.0853652954101562,2.9562759399414062,0.01613499701488763
14,1.0853652954101562,2.9562759399414062,0.01613499701488763
15,1.0136241912841797,2.971616744995117,0.0018625476004672237
16,1.0136241912841797,2.971616744995117,0.0018625476004672237
17,1.0136241912841797,2.971616744995117,0.0018625476004672237
18,1.0202582478523254,2.9906166195869446,0.0009714954013091415
19,1.0002144128084183,3.006813481450081,0.00024403469315759097
20,1.0002144128084183,3.006813481450081,0.00024403469315759097
21,1.0002144128084183,3.006813481450081,0.00024403469315759097
22,1.0039903400465846,2.9946270091459155,5.2438737427372775e-05
23,0.996994401095435,3.0010415024589747,2.554905153749371e-05
24,0.996994401095435,3.0010415024589747,2.554905153749371e-05
25,1.0013321182195796,2.998154847344267,6.231944604610038e-06
26,0.9997583256736107,3.000961021763942,3.0518122544600837e-06
27,0.9997583256736107,3.000961021763942,3.0518122544600837e-06
28,1.0002980934084462,2.999392608739754,8.404444676941578e-07
29,1.0002980934084462,2.999392608739754,8.404444676941578e-07
30,0.9998034388216723,3.000388229786708,3.36306085866569e-07
31,0.9997248883230405,3.0000643430712124,2.5752008628679327e-07
32,1.0000311284904013,2.999809447584357,1.3894315777977092e-07
33,1.0000311284904013,2.999809447584357,1.3894315777977092e-07
