Iteração,x1,x2,"f(x1,x2)"
0,-1.0,1.0,130.0
1,2.0,2.0,26.0
2,2.0,2.0,26.0
3,2.0,2.0,26.0
4,2.0,2.0,26.0
5,2.0,2.0,26.0
6,2.0,2.0,26.0
7,3.015625,2.421875,3.8046714067459106
8,3.015625,2.421875,3.8046714067459106
9,3.015625,2.421875,3.8046714067459106
10,3.015625,2.421875,3.8046714067459106
11,3.013671875,1.744140625,0.9218567896459717
12,3.013671875,1.744140625,0.9218567896459717
13,3.0609130859375,2.1368408203125,0.6491973264665529
14,3.0609130859375,2.1368408203125,0.6491973264665529
15,2.99102783203125,1.88665771484375,0.22996627658682228
16,2.9509124755859375,1.9666290283203125,0.13886841256398286
17,3.015941619873047,2.0317420959472656,0.03700575398011287
18,3.015941619873047,2.0317420959472656,0.03700575398011287
19,3.015941619873047,2.0317420959472656,0.03700575398011287
20,2.991661250591278,1.9736414551734924,0.01861164168587216
21,2.990024968981743,1.989836111664772,0.007441053543096552
22,3.0033923648297787,2.006740439683199,0.001658875723524794
23,3.0033923648297787,2.006740439683199,0.001658875723524794
24,3.0033923648297787,2.006740439683199,0.001658875723524794
25,2.999828659230843,1.9953848409932107,0.0003782027180312019
26,2.999828659230843,1.9953848409932107,0.0003782027180312019
27,3.000570514588617,2.002030451898463,0.00010537279673457435
28,3.000570514588617,2.002030451898463,0.00010537279673457435
29,2.9995404903093004,1.9979455001812312,9.837498282900612e-05
30,2.9989948153179284,1.9994849214399437,5.223498934820474e-05
31,2.9999190837011156,2.0003728313545253,2.002338256821313e-06
32,2.9999190837011156,2.0003728313545253,2.002338256821313e-06
33,2.9999190837011156,2.0003728313545253,2.002338256821313e-06
34,2.9999190837011156,2.0003728313545253,2.002338256821313e-06
35,3.0000029569749955,1.9998085206566856,6.122373373375565e-07
36,3.0000029569749955,1.9998085206566856,6.122373373375565e-07
37,3.0000082821731384,2.0001280176176115,3.023650313561283e-07
38,3.0000082821731384,2.0001280176176115,3.023650313561283e-07
39,3.0000282520169566,1.999927034262978,7.88092707746796e-08
40,3.0000282520169566,1.999927034262978,7.88092707746796e-08
41,3.0000282520169566,1.999927034262978,7.88092707746796e-08
